Apartment,IPIP_1,IPIP_2,IPIP_3,IPIP_4,IPIP_5,IPIP_6,IPIP_7,IPIP_8,IPIP_9,IPIP_10,Sleep_schedule,Noise_sensitivity,Cleanliness,Cleanliness_2,Cooking_at_home,Guests_over,Smoking,Alcohol,Vibe,Chores,Conflict,FlatmateFactors_Priority,Compatibility_Importance,Compatibility_OverallRating,Compat_DailyRoutines,Compat_Tidiness,Compat_Noise,Compat_Interaction,Compat_Conflict,Compat_Relaxedness
FR.51,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,00:00-02:00,Somewhat sensitive,Extremely important,Sometimes,Several times per week,Rarely,Non-smoker,Sometimes,Balanced,Often take initiative,Try to solve problems through discussion,Similar daily routines,Extremely,Slightly compatible,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree
C.41,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,22:00-00:00,Somewhat sensitive,Very important,Most of the time,Rarely,A few times per month,Non-smoker,Rarely,Social & lively,Take responsibility for most,Compromise quickly,Similar daily routines,Extremely,Slightly compatible,Agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree
B.52,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Very important,Often,Once per week,Several times per week,Non-smoker,Rarely,Balanced,Do my fair share,Avoid confrontation,Shared interests / personality fit,Very,Slightly compatible,Strongly agree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
FR.32,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,After 02:00,Neutral,Very important,Sometimes,Once per week,Never,Non-smoker,Rarely,Balanced,Often take initiative,Try to solve problems through discussion,Similar daily routines,Not at all,Very compatible,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
B.51,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Extremely important,Often,Several times per week,Rarely,Non-smoker,Sometimes,Very social,Take responsibility for most,Avoid confrontation,Reliability in shared spaces,Slightly,Moderately compatible,Agree,Agree,Disagree,Agree,Strongly disagree,Disagree
A.35,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,00:00-02:00,Somewhat insensitive,Extremely important,Sometimes,Never,A few times per month,Non-smoker,Very often,Mostly private,Often take initiative,"Be direct, even if uncomfortable",Being social and engaging,Slightly,Very compatible,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly disagree
E.12,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,22:00-00:00,Neutral,Very important,Rarely,Every day,A few times per month,Non-smoker,Rarely,Quiet & private,Take responsibility for most,Avoid confrontation,Shared interests / personality fit,Moderately,Moderately compatible,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,Agree
MO43,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,00:00-02:00,Somewhat sensitive,Very important,Most of the time,Rarely,Several times per week,Smoker,Sometimes,Mostly private,Do my fair share,"Be direct, even if uncomfortable",Similar daily routines,Slightly,Slightly compatible,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree
CU.41,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,After 02:00,Neutral,Very important,Rarely,Once per week,A few times per month,Non-smoker,Often,Balanced,Take responsibility for most,Try to solve problems through discussion,Being social and engaging,Moderately,Slightly compatible,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree
C.02,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,22:00-00:00,Somewhat insensitive,Extremely important,Most of the time,Once per week,Rarely,Non-smoker,Sometimes,Quiet & private,Often take initiative,Try to solve problems through discussion,Similar daily routines,Moderately,Not at all compatible,Neither agree nor disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree
B.42,Neither agree nor disagree,Agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,00:00-02:00,Neutral,Extremely important,Most of the time,Several times per week,Rarely,Non-smoker,Rarely,Very social,Take responsibility for most,Try to solve problems through discussion,Reliability in shared spaces,Extremely,Very compatible,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
FR.31,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,00:00-02:00,Neutral,Very important,Most of the time,Once per week,Once per week,Non-smoker,Never,Balanced,Avoid them,Try to solve problems through discussion,Reliability in shared spaces,Extremely,Very compatible,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree
B.23,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,22:00-00:00,Somewhat sensitive,Very important,Rarely,Rarely,Rarely,Non-smoker,Sometimes,Social & lively,Often take initiative,Compromise quickly,Being social and engaging,Moderately,Very compatible,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Strongly agree
MO.71,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Most of the time,Rarely,A few times per month,Non-smoker,Sometimes,Mostly private,Take responsibility for most,Try to solve problems through discussion,Similar daily routines,Very,Not at all compatible,Agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree
B.62,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Disagree,00:00-02:00,Somewhat sensitive,Very important,Rarely,Never,Rarely,Non-smoker,Never,Mostly private,Do them when asked,"Be direct, even if uncomfortable",Reliability in shared spaces,Slightly,Very compatible,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree
FR.32,Strongly disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,22:00-00:00,Neutral,Very important,Rarely,Several times per week,A few times per month,Non-smoker,Sometimes,Quiet & private,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Slightly,Not at all compatible,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree
MO43,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Neutral,Very important,Often,Several times per week,A few times per month,Non-smoker,Often,Mostly private,Take responsibility for most,Try to solve problems through discussion,Respect for boundaries,Extremely,Not at all compatible,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Neither agree nor disagree
A.43,Agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Before 22:00,Neutral,Moderately important,Sometimes,Every day,Once per week,Non-smoker,Often,Balanced,Do them when asked,Compromise quickly,Being social and engaging,Very,Moderately compatible,Agree,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree
B.21,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Before 22:00,Neutral,Extremely important,Rarely,Never,Rarely,Non-smoker,Never,Very social,Do my fair share,Compromise quickly,Not important / flexible,Slightly,Moderately compatible,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree
A.53,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Very sensitive,Extremely important,Often,Several times per week,A few times per month,Non-smoker,Often,Mostly private,Do my fair share,Try to solve problems through discussion,Respect for boundaries,Moderately,Very compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree
E.21,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,22:00-00:00,Somewhat sensitive,Extremely important,Most of the time,Several times per week,Several times per week,Non-smoker,Sometimes,Balanced,Do my fair share,"Be direct, even if uncomfortable",Not important / flexible,Extremely,Very compatible,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
E.32,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,22:00-00:00,Very sensitive,Very important,Often,Never,Several times per week,Non-smoker,Sometimes,Balanced,Avoid them,Try to solve problems through discussion,Similar daily routines,Slightly,Slightly compatible,Disagree,Disagree,Agree,Agree,Strongly agree,Agree
D.61,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Extremely important,Rarely,Once per week,A few times per month,Non-smoker,Rarely,Quiet & private,Do them when asked,Try to solve problems through discussion,Similar daily routines,Slightly,Slightly compatible,Agree,Strongly disagree,Agree,Agree,Strongly agree,Agree
MO52,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,00:00-02:00,Somewhat sensitive,Extremely important,Rarely,Once per week,Once per week,Non-smoker,Never,Balanced,Do them when asked,Try to solve problems through discussion,Reliability in shared spaces,Extremely,Slightly compatible,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree
B.33,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,After 02:00,Very sensitive,Extremely important,Most of the time,Several times per week,Rarely,Non-smoker,Sometimes,Quiet & private,Do them when asked,"Be direct, even if uncomfortable",Respect for boundaries,Moderately,Slightly compatible,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree
FR.42,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Strongly agree,00:00-02:00,Neutral,Moderately important,Most of the time,Once per week,A few times per month,Non-smoker,Never,Social & lively,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Moderately,Slightly compatible,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree
B.21,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Very important,Rarely,Never,Rarely,Non-smoker,Often,Social & lively,Often take initiative,Avoid confrontation,Similar daily routines,Slightly,Very compatible,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree
TU.54,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,After 02:00,Neutral,Very important,Most of the time,Once per week,Never,Smoker,Often,Mostly private,Do my fair share,Compromise quickly,Respect for boundaries,Extremely,Slightly compatible,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly disagree,Agree
D.02,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,22:00-00:00,Neutral,Very important,Sometimes,Several times per week,Rarely,Non-smoker,Never,Balanced,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Very,Very compatible,Neither agree nor disagree,Strongly agree,Agree,Disagree,Agree,Strongly agree
D.51,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,22:00-00:00,Somewhat insensitive,Very important,Most of the time,Every day,Rarely,Non-smoker,Sometimes,Quiet & private,Avoid them,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Moderately compatible,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree
